period,government_debt_refinancing_bn_ron,observation_status,source_id
2013,55.8,FINAL_ANNUAL_REPORT,mof_annual_debt_report_2014
2014,47.9,FINAL_ANNUAL_REPORT,mof_annual_debt_report_2014
2015,53.0256,RETROSPECTIVE_MONTHLY_REPORT_COMPLETED_YEAR,mof_monthly_debt_report_2016_11
2016,50.8751,RETROSPECTIVE_MONTHLY_REPORT_COMPLETED_YEAR,mof_monthly_debt_report_2017_05
2017,40.3,FINAL_ANNUAL_REPORT,mof_annual_debt_report_2018
2018,43.4,FINAL_ANNUAL_REPORT,mof_annual_debt_report_2018
2019,47.2,OPERATIVE_EXECUTION_COMPLETED_YEAR,mof_annual_debt_report_2019
2020,46.6,OPERATIVE_EXECUTION_COMPLETED_YEAR,mof_strategy_2021_2023
2021,53.5,FINAL_ANNUAL_REPORT,mof_annual_debt_report_2022
2022,78.9,FINAL_ANNUAL_REPORT,mof_annual_debt_report_2022
2023,95.8347,RETROSPECTIVE_MONTHLY_REPORT_COMPLETED_YEAR,mof_monthly_debt_report_2024_12
2024,95.6546,YEAR_END_UPDATED_EXECUTION,mof_monthly_debt_report_2024_12
