measure,holder,issuer,status,canonical_value_million_RON,mirror_value_million_RON,mirror_residual_million_RON
stock,H,H,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
stock,H,C,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,199.92,,
stock,H,F,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,152.31,,
stock,H,G,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,36382.75,,
stock,H,X,OBSERVABLE_NONRESIDENT_BOUNDARY,1699.25,,
stock,H,BNR,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
stock,C,H,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
stock,C,C,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,90.95,,
stock,C,F,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,1156.39,,
stock,C,G,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,16661.8,,
stock,C,X,OBSERVABLE_NONRESIDENT_BOUNDARY,486.62,,
stock,C,BNR,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
stock,F,H,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
stock,F,C,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,1361.14,,
stock,F,F,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,10619.24,,
stock,F,G,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,403504.77999999997,,
stock,F,X,OBSERVABLE_NONRESIDENT_BOUNDARY,34800.45000000001,,
stock,F,BNR,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
stock,G,H,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
stock,G,C,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
stock,G,F,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
stock,G,G,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,10606.39,,
stock,G,X,OBSERVABLE_NONRESIDENT_BOUNDARY,3293.71,,
stock,G,BNR,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
stock,X,H,OBSERVABLE_NONRESIDENT_BOUNDARY,0.0,,
stock,X,C,OBSERVABLE_NONRESIDENT_BOUNDARY,12092.06,,
stock,X,F,OBSERVABLE_NONRESIDENT_BOUNDARY,32919.21,,
stock,X,G,OBSERVABLE_NONRESIDENT_BOUNDARY,448235.66,,
stock,X,X,OUTSIDE_BOUNDARY_CANDIDATE_NOT_APPLICABLE,,,
stock,X,BNR,OBSERVABLE_NONRESIDENT_BOUNDARY,0.0,,
stock,BNR,H,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
stock,BNR,C,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
stock,BNR,F,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
stock,BNR,G,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,1549.9,,
stock,BNR,X,OBSERVABLE_NONRESIDENT_BOUNDARY,223764.11,,
stock,BNR,BNR,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
flow,H,H,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
flow,H,C,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,-25.86,,
flow,H,F,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,7.300000000000001,,
flow,H,G,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,7902.2699999999995,,
flow,H,X,OBSERVABLE_NONRESIDENT_BOUNDARY,230.7,,
flow,H,BNR,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
flow,C,H,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
flow,C,C,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,-19.63,,
flow,C,F,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,55.75,,
flow,C,G,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,2139.9500000000003,,
flow,C,X,OBSERVABLE_NONRESIDENT_BOUNDARY,224.49,,
flow,C,BNR,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
flow,F,H,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
flow,F,C,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,574.3100000000001,,
flow,F,F,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,2373.54,,
flow,F,G,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,53044.880000000005,,
flow,F,X,OBSERVABLE_NONRESIDENT_BOUNDARY,2128.430000000004,,
flow,F,BNR,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
flow,G,H,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
flow,G,C,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
flow,G,F,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
flow,G,G,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,1901.9,,
flow,G,X,OBSERVABLE_NONRESIDENT_BOUNDARY,121.91,,
flow,G,BNR,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
flow,X,H,OBSERVABLE_NONRESIDENT_BOUNDARY,0.0,,
flow,X,C,OBSERVABLE_NONRESIDENT_BOUNDARY,7783.7,,
flow,X,F,OBSERVABLE_NONRESIDENT_BOUNDARY,5033.55,,
flow,X,G,OBSERVABLE_NONRESIDENT_BOUNDARY,67153.17,,
flow,X,X,OUTSIDE_BOUNDARY_CANDIDATE_NOT_APPLICABLE,,,
flow,X,BNR,OBSERVABLE_NONRESIDENT_BOUNDARY,0.0,,
flow,BNR,H,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
flow,BNR,C,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
flow,BNR,F,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
flow,BNR,G,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,-1603.6799999999998,,
flow,BNR,X,OBSERVABLE_NONRESIDENT_BOUNDARY,27401.649999999998,,
flow,BNR,BNR,OBSERVABLE_CANONICAL_MIRROR_UNAVAILABLE,0.0,,
