KEY,FREQ,REF_AREA,COUNT_AREA,CB_REP_SECTOR,BS_COUNT_SECTOR,BS_NFC_ACTIVITY,CB_SECTOR_SIZE,CB_REP_FRAMEWRK,CB_ITEM,CB_PORTFOLIO,CB_EXP_TYPE,CB_VAL_METHOD,MATURITY_RES,DATA_TYPE,CURRENCY_TRANS,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,TIME_FORMAT,BREAKS,COMMENT_TS,COMPILING_ORG,COVERAGE,CURRENCY,DATA_COMP,DECIMALS,DISS_ORG,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT
CBD2.Q.RO.W0.11._Z._Z.A.F.I3632._Z._Z._Z._Z._Z._Z.PC,Q,RO,W0,11,_Z,_Z,A,F,I3632,_Z,_Z,_Z,_Z,_Z,_Z,PC,2014-Q4,23.48397021657838,E,F,,,P3M,,"Romania, counterpart: World (all entities, including reference area, including IO), reporting sector: Domestic banking groups and stand-alone banks, All institutions, FINREP (IFRS and GAAP), Gross non-performing loans and advances [% of total gross loans and advances], Not applicable, Percent",,,,(Gross) Non-performing loans and advances / (Gross) Total loans and advances,4,,,,,A,"Gross non-performing loans-to-gross loans (NPL ratio), domestic banks, reporting FINREP",,0
CBD2.Q.RO.W0.11._Z._Z.A.F.I3632._Z._Z._Z._Z._Z._Z.PC,Q,RO,W0,11,_Z,_Z,A,F,I3632,_Z,_Z,_Z,_Z,_Z,_Z,PC,2015-Q1,22.93872099799525,E,F,,,P3M,,"Romania, counterpart: World (all entities, including reference area, including IO), reporting sector: Domestic banking groups and stand-alone banks, All institutions, FINREP (IFRS and GAAP), Gross non-performing loans and advances [% of total gross loans and advances], Not applicable, Percent",,,,(Gross) Non-performing loans and advances / (Gross) Total loans and advances,4,,,,,A,"Gross non-performing loans-to-gross loans (NPL ratio), domestic banks, reporting FINREP",,0
CBD2.Q.RO.W0.11._Z._Z.A.F.I3632._Z._Z._Z._Z._Z._Z.PC,Q,RO,W0,11,_Z,_Z,A,F,I3632,_Z,_Z,_Z,_Z,_Z,_Z,PC,2015-Q2,18.827945517329532,E,F,,,P3M,,"Romania, counterpart: World (all entities, including reference area, including IO), reporting sector: Domestic banking groups and stand-alone banks, All institutions, FINREP (IFRS and GAAP), Gross non-performing loans and advances [% of total gross loans and advances], Not applicable, Percent",,,,(Gross) Non-performing loans and advances / (Gross) Total loans and advances,4,,,,,A,"Gross non-performing loans-to-gross loans (NPL ratio), domestic banks, reporting FINREP",,0
CBD2.Q.RO.W0.11._Z._Z.A.F.I3632._Z._Z._Z._Z._Z._Z.PC,Q,RO,W0,11,_Z,_Z,A,F,I3632,_Z,_Z,_Z,_Z,_Z,_Z,PC,2015-Q3,15.401198100954877,E,F,,,P3M,,"Romania, counterpart: World (all entities, including reference area, including IO), reporting sector: Domestic banking groups and stand-alone banks, All institutions, FINREP (IFRS and GAAP), Gross non-performing loans and advances [% of total gross loans and advances], Not applicable, Percent",,,,(Gross) Non-performing loans and advances / (Gross) Total loans and advances,4,,,,,A,"Gross non-performing loans-to-gross loans (NPL ratio), domestic banks, reporting FINREP",,0
CBD2.Q.RO.W0.11._Z._Z.A.F.I3632._Z._Z._Z._Z._Z._Z.PC,Q,RO,W0,11,_Z,_Z,A,F,I3632,_Z,_Z,_Z,_Z,_Z,_Z,PC,2015-Q4,16.956782428358107,E,F,,,P3M,,"Romania, counterpart: World (all entities, including reference area, including IO), reporting sector: Domestic banking groups and stand-alone banks, All institutions, FINREP (IFRS and GAAP), Gross non-performing loans and advances [% of total gross loans and advances], Not applicable, Percent",,,,(Gross) Non-performing loans and advances / (Gross) Total loans and advances,4,,,,,A,"Gross non-performing loans-to-gross loans (NPL ratio), domestic banks, reporting FINREP",,0
CBD2.Q.RO.W0.11._Z._Z.A.F.I3632._Z._Z._Z._Z._Z._Z.PC,Q,RO,W0,11,_Z,_Z,A,F,I3632,_Z,_Z,_Z,_Z,_Z,_Z,PC,2016-Q1,16.88231265090858,E,F,,,P3M,,"Romania, counterpart: World (all entities, including reference area, including IO), reporting sector: Domestic banking groups and stand-alone banks, All institutions, FINREP (IFRS and GAAP), Gross non-performing loans and advances [% of total gross loans and advances], Not applicable, Percent",,,,(Gross) Non-performing loans and advances / (Gross) Total loans and advances,4,,,,,A,"Gross non-performing loans-to-gross loans (NPL ratio), domestic banks, reporting FINREP",,0
CBD2.Q.RO.W0.11._Z._Z.A.F.I3632._Z._Z._Z._Z._Z._Z.PC,Q,RO,W0,11,_Z,_Z,A,F,I3632,_Z,_Z,_Z,_Z,_Z,_Z,PC,2016-Q2,14.74769670759919,E,F,,,P3M,,"Romania, counterpart: World (all entities, including reference area, including IO), reporting sector: Domestic banking groups and stand-alone banks, All institutions, FINREP (IFRS and GAAP), Gross non-performing loans and advances [% of total gross loans and advances], Not applicable, Percent",,,,(Gross) Non-performing loans and advances / (Gross) Total loans and advances,4,,,,,A,"Gross non-performing loans-to-gross loans (NPL ratio), domestic banks, reporting FINREP",,0
CBD2.Q.RO.W0.11._Z._Z.A.F.I3632._Z._Z._Z._Z._Z._Z.PC,Q,RO,W0,11,_Z,_Z,A,F,I3632,_Z,_Z,_Z,_Z,_Z,_Z,PC,2016-Q3,11.036483207825084,E,F,,,P3M,,"Romania, counterpart: World (all entities, including reference area, including IO), reporting sector: Domestic banking groups and stand-alone banks, All institutions, FINREP (IFRS and GAAP), Gross non-performing loans and advances [% of total gross loans and advances], Not applicable, Percent",,,,(Gross) Non-performing loans and advances / (Gross) Total loans and advances,4,,,,,A,"Gross non-performing loans-to-gross loans (NPL ratio), domestic banks, reporting FINREP",,0
CBD2.Q.RO.W0.11._Z._Z.A.F.I3632._Z._Z._Z._Z._Z._Z.PC,Q,RO,W0,11,_Z,_Z,A,F,I3632,_Z,_Z,_Z,_Z,_Z,_Z,PC,2016-Q4,11.788585344034033,E,F,,,P3M,,"Romania, counterpart: World (all entities, including reference area, including IO), reporting sector: Domestic banking groups and stand-alone banks, All institutions, FINREP (IFRS and GAAP), Gross non-performing loans and advances [% of total gross loans and advances], Not applicable, Percent",,,,(Gross) Non-performing loans and advances / (Gross) Total loans and advances,4,,,,,A,"Gross non-performing loans-to-gross loans (NPL ratio), domestic banks, reporting FINREP",,0
CBD2.Q.RO.W0.11._Z._Z.A.F.I3632._Z._Z._Z._Z._Z._Z.PC,Q,RO,W0,11,_Z,_Z,A,F,I3632,_Z,_Z,_Z,_Z,_Z,_Z,PC,2017-Q1,10.993443151446074,E,F,,,P3M,,"Romania, counterpart: World (all entities, including reference area, including IO), reporting sector: Domestic banking groups and stand-alone banks, All institutions, FINREP (IFRS and GAAP), Gross non-performing loans and advances [% of total gross loans and advances], Not applicable, Percent",,,,(Gross) Non-performing loans and advances / (Gross) Total loans and advances,4,,,,,A,"Gross non-performing loans-to-gross loans (NPL ratio), domestic banks, reporting FINREP",,0
