KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,MATURITY_NOT_IRATE,DATA_TYPE_MIR,AMOUNT_CAT,BS_COUNT_SECTOR,CURRENCY_TRANS,IR_BUS_COV,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
MIR.M.RO.B.A2A.A.R.A.2240.RON.N,M,RO,B,A2A,A,R,A,2240,RON,N,2007-01,,Q,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.A.R.A.2240.RON.N,M,RO,B,A2A,A,R,A,2240,RON,N,2007-02,,Q,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.A.R.A.2240.RON.N,M,RO,B,A2A,A,R,A,2240,RON,N,2007-03,,Q,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.A.R.A.2240.RON.N,M,RO,B,A2A,A,R,A,2240,RON,N,2007-04,,Q,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.A.R.A.2240.RON.N,M,RO,B,A2A,A,R,A,2240,RON,N,2007-06,,Q,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.A.R.A.2240.RON.N,M,RO,B,A2A,A,R,A,2240,RON,N,2007-08,,Q,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.A.R.A.2240.RON.N,M,RO,B,A2A,A,R,A,2240,RON,N,2007-12,,Q,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.A.R.A.2240.RON.N,M,RO,B,A2A,A,R,A,2240,RON,N,2008-02,,Q,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.A.R.A.2240.RON.N,M,RO,B,A2A,A,R,A,2240,RON,N,2008-04,,Q,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.A.R.A.2240.RON.N,M,RO,B,A2A,A,R,A,2240,RON,N,2008-05,,Q,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
