KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,MATURITY_NOT_IRATE,DATA_TYPE_MIR,AMOUNT_CAT,BS_COUNT_SECTOR,CURRENCY_TRANS,IR_BUS_COV,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2017-08,3.75,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2017-09,3.95,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2017-10,4.53,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2017-11,4.75,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2017-12,5.02,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-01,4.89,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-02,4.97,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-03,5.04,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-04,5.12,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-05,5.43,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-06,5.6,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-07,5.86,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-08,6,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-09,5.84,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-10,6.07,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-11,6.1,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-12,5.81,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2019-01,5.77,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2019-02,6.17,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
