period,nfc_investment_rate,real_gdp_yoy_growth,investment_grants_support_intensity,nfc_new_business_lending_rate_up_to_one_year_quarterly_mean
2017-Q4,21.3097709937,9.33885285543,0.837792990808,4.76666666667
2018-Q1,20.6842806437,5.75865094186,0.697182556815,4.96666666667
2018-Q2,21.4961636569,4.78338783807,0.631213097428,5.38333333333
2018-Q3,20.4351856016,5.80047021112,0.939362807883,5.9
2018-Q4,19.5461344585,5.24214012088,1.57910300604,5.99333333333
2019-Q1,20.8911794667,4.11449313587,1.64597859405,6.07333333333
2019-Q2,23.2057736656,4.4765574216,1.72645581524,6.21666666667
2019-Q3,22.9280536894,2.35886252641,1.70953798636,5.73666666667
2019-Q4,24.3419398091,4.91686805756,0.701859049621,5.85666666667
2020-Q1,24.9367324681,2.12614216216,0.857061397014,5.71333333333
2020-Q2,25.4717085701,-8.4780714262,0.794941124477,5.21
2020-Q3,26.5682134384,-5.41613729878,1.17857463639,4.53666666667
2020-Q4,24.4742108211,-2.5075846521,1.41420858071,4.55666666667
2021-Q1,22.996503303,1.2554048313,1.29800818573,4.42333333333
2021-Q2,21.2018829778,11.4765613603,1.49467734838,4.04333333333
2021-Q3,23.0575872475,7.66503041189,1.36221689613,3.91
2021-Q4,22.3248056854,2.53487593189,1.51206026398,4.46333333333
2022-Q1,22.3006884729,4.42284730671,2.2035894639,5.57
2022-Q2,22.3754054091,3.55495436295,1.98243941511,7.27
2022-Q3,21.1967842081,3.75644028093,1.75013924338,9.37
2022-Q4,22.1541543128,5.01858683273,1.90320894269,10.03
2023-Q1,21.9215584342,1.58443170302,1.40742420414,9.33
2023-Q2,21.8982945485,2.40100131866,1.96980206397,9.05
2023-Q3,23.2371498163,2.88536776227,1.99022469063,8.64666666667
2023-Q4,22.6352278535,2.15797980903,1.71714584118,8.63
2024-Q1,21.6991419225,2.06915047788,2.01779981127,8.58666666667
2024-Q2,22.9217466274,0.545994558897,1.5083347188,8.14
2024-Q3,23.6121716224,0.286694007562,1.10708338353,7.85333333333
2024-Q4,22.3284235339,0.780755398635,1.05212384564,8.05
2025-Q1,22.1786417758,0.670094884315,0.820801161973,8.52333333333
2025-Q2,21.9009840591,2.06902900007,1.40567758459,8.9
2025-Q3,22.4500565645,1.42473183317,1.39139024593,9.15333333333
2025-Q4,22.3796486044,-1.42430205934,1.12345946171,8.72666666667
2026-Q1,22.4381639911,-1.13337142995,0.809977880156,8.57666666667
