period,value,source_status
1999-Q1,969.9,FINITE_PROVIDER_OBSERVATION
1999-Q2,1652,FINITE_PROVIDER_OBSERVATION
1999-Q3,1713.2,FINITE_PROVIDER_OBSERVATION
1999-Q4,2711,FINITE_PROVIDER_OBSERVATION
2000-Q1,1388.8,FINITE_PROVIDER_OBSERVATION
2000-Q2,2074,FINITE_PROVIDER_OBSERVATION
2000-Q3,3135,FINITE_PROVIDER_OBSERVATION
2000-Q4,3303,FINITE_PROVIDER_OBSERVATION
2001-Q1,2426.7,FINITE_PROVIDER_OBSERVATION
2001-Q2,4275.5,FINITE_PROVIDER_OBSERVATION
2001-Q3,5635.9,FINITE_PROVIDER_OBSERVATION
2001-Q4,5952.3,FINITE_PROVIDER_OBSERVATION
2002-Q1,3317.3,FINITE_PROVIDER_OBSERVATION
2002-Q2,5979.9,FINITE_PROVIDER_OBSERVATION
2002-Q3,8122.7,FINITE_PROVIDER_OBSERVATION
2002-Q4,7971.3,FINITE_PROVIDER_OBSERVATION
2003-Q1,4255.5,FINITE_PROVIDER_OBSERVATION
2003-Q2,7357.8,FINITE_PROVIDER_OBSERVATION
2003-Q3,10506.4,FINITE_PROVIDER_OBSERVATION
2003-Q4,11354.3,FINITE_PROVIDER_OBSERVATION
2004-Q1,5431.7,FINITE_PROVIDER_OBSERVATION
2004-Q2,10158.3,FINITE_PROVIDER_OBSERVATION
2004-Q3,13951,FINITE_PROVIDER_OBSERVATION
2004-Q4,13998.4,FINITE_PROVIDER_OBSERVATION
2005-Q1,6302.5,FINITE_PROVIDER_OBSERVATION
2005-Q2,12135.3,FINITE_PROVIDER_OBSERVATION
2005-Q3,16487.7,FINITE_PROVIDER_OBSERVATION
2005-Q4,19328.3,FINITE_PROVIDER_OBSERVATION
2006-Q1,9211.7,FINITE_PROVIDER_OBSERVATION
2006-Q2,15399.4,FINITE_PROVIDER_OBSERVATION
2006-Q3,23679.6,FINITE_PROVIDER_OBSERVATION
2006-Q4,19029.1,FINITE_PROVIDER_OBSERVATION
2007-Q1,9480,FINITE_PROVIDER_OBSERVATION
2007-Q2,19915.8,FINITE_PROVIDER_OBSERVATION
2007-Q3,36737,FINITE_PROVIDER_OBSERVATION
2007-Q4,30254,FINITE_PROVIDER_OBSERVATION
2008-Q1,16039.7,FINITE_PROVIDER_OBSERVATION
2008-Q2,29605.4,FINITE_PROVIDER_OBSERVATION
2008-Q3,47298.5,FINITE_PROVIDER_OBSERVATION
2008-Q4,37136,FINITE_PROVIDER_OBSERVATION
2009-Q1,15317.7,FINITE_PROVIDER_OBSERVATION
2009-Q2,20078,FINITE_PROVIDER_OBSERVATION
2009-Q3,31670.7,FINITE_PROVIDER_OBSERVATION
2009-Q4,25438.3,FINITE_PROVIDER_OBSERVATION
2010-Q1,11566.1,FINITE_PROVIDER_OBSERVATION
2010-Q2,18001.4,FINITE_PROVIDER_OBSERVATION
2010-Q3,26541,FINITE_PROVIDER_OBSERVATION
2010-Q4,22029.8,FINITE_PROVIDER_OBSERVATION
2011-Q1,11620.3,FINITE_PROVIDER_OBSERVATION
2011-Q2,20473.8,FINITE_PROVIDER_OBSERVATION
2011-Q3,31237.5,FINITE_PROVIDER_OBSERVATION
2011-Q4,25790.7,FINITE_PROVIDER_OBSERVATION
2012-Q1,12826.6,FINITE_PROVIDER_OBSERVATION
2012-Q2,24046.1,FINITE_PROVIDER_OBSERVATION
2012-Q3,33035.1,FINITE_PROVIDER_OBSERVATION
2012-Q4,28432.2,FINITE_PROVIDER_OBSERVATION
2013-Q1,14887.9,FINITE_PROVIDER_OBSERVATION
2013-Q2,21928.1,FINITE_PROVIDER_OBSERVATION
2013-Q3,33820.5,FINITE_PROVIDER_OBSERVATION
2013-Q4,20290.5,FINITE_PROVIDER_OBSERVATION
2014-Q1,14879.8,FINITE_PROVIDER_OBSERVATION
2014-Q2,24437.6,FINITE_PROVIDER_OBSERVATION
2014-Q3,33680.3,FINITE_PROVIDER_OBSERVATION
2014-Q4,23788.7,FINITE_PROVIDER_OBSERVATION
2015-Q1,14373.1,FINITE_PROVIDER_OBSERVATION
2015-Q2,23582.1,FINITE_PROVIDER_OBSERVATION
2015-Q3,32769.7,FINITE_PROVIDER_OBSERVATION
2015-Q4,28476.9,FINITE_PROVIDER_OBSERVATION
2016-Q1,17629.5,FINITE_PROVIDER_OBSERVATION
2016-Q2,25553.7,FINITE_PROVIDER_OBSERVATION
2016-Q3,32472.1,FINITE_PROVIDER_OBSERVATION
2016-Q4,26095.4,FINITE_PROVIDER_OBSERVATION
2017-Q1,13070.2,FINITE_PROVIDER_OBSERVATION
2017-Q2,21762.4,FINITE_PROVIDER_OBSERVATION
