period,value,source_status
1999-Q1,100.7,FINITE_PROVIDER_OBSERVATION
1999-Q2,81,FINITE_PROVIDER_OBSERVATION
1999-Q3,106.5,FINITE_PROVIDER_OBSERVATION
1999-Q4,26.7,FINITE_PROVIDER_OBSERVATION
2000-Q1,18.3,FINITE_PROVIDER_OBSERVATION
2000-Q2,169.5,FINITE_PROVIDER_OBSERVATION
2000-Q3,145.5,FINITE_PROVIDER_OBSERVATION
2000-Q4,139.3,FINITE_PROVIDER_OBSERVATION
2001-Q1,180.6,FINITE_PROVIDER_OBSERVATION
2001-Q2,275.2,FINITE_PROVIDER_OBSERVATION
2001-Q3,415.9,FINITE_PROVIDER_OBSERVATION
2001-Q4,346.1,FINITE_PROVIDER_OBSERVATION
2002-Q1,297.6,FINITE_PROVIDER_OBSERVATION
2002-Q2,855.6,FINITE_PROVIDER_OBSERVATION
2002-Q3,426.7,FINITE_PROVIDER_OBSERVATION
2002-Q4,157.2,FINITE_PROVIDER_OBSERVATION
2003-Q1,719,FINITE_PROVIDER_OBSERVATION
2003-Q2,678.1,FINITE_PROVIDER_OBSERVATION
2003-Q3,374,FINITE_PROVIDER_OBSERVATION
2003-Q4,86.9,FINITE_PROVIDER_OBSERVATION
2004-Q1,737.5,FINITE_PROVIDER_OBSERVATION
2004-Q2,675,FINITE_PROVIDER_OBSERVATION
2004-Q3,832.7,FINITE_PROVIDER_OBSERVATION
2004-Q4,894.7,FINITE_PROVIDER_OBSERVATION
2005-Q1,320.8,FINITE_PROVIDER_OBSERVATION
2005-Q2,497.3,FINITE_PROVIDER_OBSERVATION
2005-Q3,158.8,FINITE_PROVIDER_OBSERVATION
2005-Q4,1264,FINITE_PROVIDER_OBSERVATION
2006-Q1,1061.4,FINITE_PROVIDER_OBSERVATION
2006-Q2,223,FINITE_PROVIDER_OBSERVATION
2006-Q3,1750.9,FINITE_PROVIDER_OBSERVATION
2006-Q4,1052.9,FINITE_PROVIDER_OBSERVATION
2007-Q1,39.3,FINITE_PROVIDER_OBSERVATION
2007-Q2,414.8,FINITE_PROVIDER_OBSERVATION
2007-Q3,464.9,FINITE_PROVIDER_OBSERVATION
2007-Q4,331,FINITE_PROVIDER_OBSERVATION
2008-Q1,35.4,FINITE_PROVIDER_OBSERVATION
2008-Q2,90.6,FINITE_PROVIDER_OBSERVATION
2008-Q3,25.3,FINITE_PROVIDER_OBSERVATION
2008-Q4,79.2,FINITE_PROVIDER_OBSERVATION
2009-Q1,43.8,FINITE_PROVIDER_OBSERVATION
2009-Q2,196.7,FINITE_PROVIDER_OBSERVATION
2009-Q3,619.3,FINITE_PROVIDER_OBSERVATION
2009-Q4,1569.5,FINITE_PROVIDER_OBSERVATION
2010-Q1,1,FINITE_PROVIDER_OBSERVATION
2010-Q2,570.1,FINITE_PROVIDER_OBSERVATION
2010-Q3,243.5,FINITE_PROVIDER_OBSERVATION
2010-Q4,162.3,FINITE_PROVIDER_OBSERVATION
2011-Q1,1956,FINITE_PROVIDER_OBSERVATION
2011-Q2,470.4,FINITE_PROVIDER_OBSERVATION
2011-Q3,26.9,FINITE_PROVIDER_OBSERVATION
2011-Q4,99.1,FINITE_PROVIDER_OBSERVATION
2012-Q1,501,FINITE_PROVIDER_OBSERVATION
2012-Q2,2242.2,FINITE_PROVIDER_OBSERVATION
2012-Q3,288.7,FINITE_PROVIDER_OBSERVATION
2012-Q4,1720.4,FINITE_PROVIDER_OBSERVATION
2013-Q1,274.3,FINITE_PROVIDER_OBSERVATION
2013-Q2,1261.2,FINITE_PROVIDER_OBSERVATION
2013-Q3,1647.5,FINITE_PROVIDER_OBSERVATION
2013-Q4,1591.7,FINITE_PROVIDER_OBSERVATION
2014-Q1,5726.7,FINITE_PROVIDER_OBSERVATION
2014-Q2,859.3,FINITE_PROVIDER_OBSERVATION
2014-Q3,28.1,FINITE_PROVIDER_OBSERVATION
2014-Q4,570.5,FINITE_PROVIDER_OBSERVATION
2015-Q1,2026.9,FINITE_PROVIDER_OBSERVATION
2015-Q2,481.1,FINITE_PROVIDER_OBSERVATION
2015-Q3,678.2,FINITE_PROVIDER_OBSERVATION
2015-Q4,217.7,FINITE_PROVIDER_OBSERVATION
2016-Q1,7680.6,FINITE_PROVIDER_OBSERVATION
