period,value,source_status
1999-Q4,26.344204619,FINITE_PROVIDER_OBSERVATION
2000-Q1,24.5201087885,FINITE_PROVIDER_OBSERVATION
2000-Q2,23.6504518985,FINITE_PROVIDER_OBSERVATION
2000-Q3,25.8782647374,FINITE_PROVIDER_OBSERVATION
2000-Q4,24.893582249,FINITE_PROVIDER_OBSERVATION
2001-Q1,26.0227762037,FINITE_PROVIDER_OBSERVATION
2001-Q2,27.9333266725,FINITE_PROVIDER_OBSERVATION
2001-Q3,30.6871756639,FINITE_PROVIDER_OBSERVATION
2001-Q4,32.4729693742,FINITE_PROVIDER_OBSERVATION
2002-Q1,32.5021816672,FINITE_PROVIDER_OBSERVATION
2002-Q2,34.1613017194,FINITE_PROVIDER_OBSERVATION
2002-Q3,34.0590914059,FINITE_PROVIDER_OBSERVATION
2002-Q4,32.992637753,FINITE_PROVIDER_OBSERVATION
2003-Q1,32.2374631612,FINITE_PROVIDER_OBSERVATION
2003-Q2,32.0603965185,FINITE_PROVIDER_OBSERVATION
2003-Q3,32.0182420239,FINITE_PROVIDER_OBSERVATION
2003-Q4,33.778206528,FINITE_PROVIDER_OBSERVATION
2004-Q1,33.2296969162,FINITE_PROVIDER_OBSERVATION
2004-Q2,32.7840538541,FINITE_PROVIDER_OBSERVATION
2004-Q3,34.8256431349,FINITE_PROVIDER_OBSERVATION
2004-Q4,35.2299852249,FINITE_PROVIDER_OBSERVATION
2005-Q1,35.0820565687,FINITE_PROVIDER_OBSERVATION
2005-Q2,35.1931415132,FINITE_PROVIDER_OBSERVATION
2005-Q3,35.84341807,FINITE_PROVIDER_OBSERVATION
2005-Q4,37.115445922,FINITE_PROVIDER_OBSERVATION
2006-Q1,37.4695117355,FINITE_PROVIDER_OBSERVATION
2006-Q2,37.6682466937,FINITE_PROVIDER_OBSERVATION
2006-Q3,39.8780169918,FINITE_PROVIDER_OBSERVATION
2006-Q4,37.8427329595,FINITE_PROVIDER_OBSERVATION
2007-Q1,35.8943161752,FINITE_PROVIDER_OBSERVATION
2007-Q2,36.7110481139,FINITE_PROVIDER_OBSERVATION
2007-Q3,40.611631091,FINITE_PROVIDER_OBSERVATION
2007-Q4,42.2839996315,FINITE_PROVIDER_OBSERVATION
2008-Q1,42.849026447,FINITE_PROVIDER_OBSERVATION
2008-Q2,43.2805768997,FINITE_PROVIDER_OBSERVATION
2008-Q3,43.6137684836,FINITE_PROVIDER_OBSERVATION
2008-Q4,43.5487812799,FINITE_PROVIDER_OBSERVATION
2009-Q1,42.3872568487,FINITE_PROVIDER_OBSERVATION
2009-Q2,38.5102413675,FINITE_PROVIDER_OBSERVATION
2009-Q3,32.9721666898,FINITE_PROVIDER_OBSERVATION
2009-Q4,30.613381571,FINITE_PROVIDER_OBSERVATION
2010-Q1,29.8051032614,FINITE_PROVIDER_OBSERVATION
2010-Q2,29.9383110491,FINITE_PROVIDER_OBSERVATION
2010-Q3,29.2868699529,FINITE_PROVIDER_OBSERVATION
2010-Q4,27.4067828177,FINITE_PROVIDER_OBSERVATION
2011-Q1,26.607482592,FINITE_PROVIDER_OBSERVATION
2011-Q2,27.0105135704,FINITE_PROVIDER_OBSERVATION
2011-Q3,27.9473749346,FINITE_PROVIDER_OBSERVATION
2011-Q4,28.5673485428,FINITE_PROVIDER_OBSERVATION
2012-Q1,28.491456058,FINITE_PROVIDER_OBSERVATION
2012-Q2,28.8711488978,FINITE_PROVIDER_OBSERVATION
2012-Q3,28.832196397,FINITE_PROVIDER_OBSERVATION
2012-Q4,28.9971138524,FINITE_PROVIDER_OBSERVATION
2013-Q1,30.5380249758,FINITE_PROVIDER_OBSERVATION
2013-Q2,30.8148640043,FINITE_PROVIDER_OBSERVATION
2013-Q3,31.7616450741,FINITE_PROVIDER_OBSERVATION
2013-Q4,28.8393926178,FINITE_PROVIDER_OBSERVATION
2014-Q1,28.1348782329,FINITE_PROVIDER_OBSERVATION
2014-Q2,28.0199234875,FINITE_PROVIDER_OBSERVATION
2014-Q3,26.9762688691,FINITE_PROVIDER_OBSERVATION
2014-Q4,27.4036180124,FINITE_PROVIDER_OBSERVATION
2015-Q1,27.0413046824,FINITE_PROVIDER_OBSERVATION
2015-Q2,26.6925916353,FINITE_PROVIDER_OBSERVATION
2015-Q3,26.076947102,FINITE_PROVIDER_OBSERVATION
2015-Q4,26.6259233016,FINITE_PROVIDER_OBSERVATION
2016-Q1,27.1791518502,FINITE_PROVIDER_OBSERVATION
2016-Q2,27.2714785176,FINITE_PROVIDER_OBSERVATION
2016-Q3,26.7975644146,FINITE_PROVIDER_OBSERVATION
2016-Q4,25.7126330414,FINITE_PROVIDER_OBSERVATION
2017-Q1,23.7327900681,FINITE_PROVIDER_OBSERVATION
2017-Q2,22.1325467994,FINITE_PROVIDER_OBSERVATION
2017-Q3,21.4665420262,FINITE_PROVIDER_OBSERVATION
2017-Q4,21.3097709937,FINITE_PROVIDER_OBSERVATION
2018-Q1,20.6842806437,FINITE_PROVIDER_OBSERVATION
2018-Q2,21.4961636569,FINITE_PROVIDER_OBSERVATION
2018-Q3,20.4351856016,FINITE_PROVIDER_OBSERVATION
2018-Q4,19.5461344585,FINITE_PROVIDER_OBSERVATION
2019-Q1,20.8911794667,FINITE_PROVIDER_OBSERVATION
2019-Q2,23.2057736656,FINITE_PROVIDER_OBSERVATION
2019-Q3,22.9280536894,FINITE_PROVIDER_OBSERVATION
2019-Q4,24.3419398091,FINITE_PROVIDER_OBSERVATION
2020-Q1,24.9367324681,FINITE_PROVIDER_OBSERVATION
2020-Q2,25.4717085701,FINITE_PROVIDER_OBSERVATION
2020-Q3,26.5682134384,FINITE_PROVIDER_OBSERVATION
2020-Q4,24.4742108211,FINITE_PROVIDER_OBSERVATION
2021-Q1,22.996503303,FINITE_PROVIDER_OBSERVATION
2021-Q2,21.2018829778,FINITE_PROVIDER_OBSERVATION
2021-Q3,23.0575872475,FINITE_PROVIDER_OBSERVATION
2021-Q4,22.3248056854,FINITE_PROVIDER_OBSERVATION
2022-Q1,22.3006884729,FINITE_PROVIDER_OBSERVATION
2022-Q2,22.3754054091,FINITE_PROVIDER_OBSERVATION
2022-Q3,21.1967842081,FINITE_PROVIDER_OBSERVATION
2022-Q4,22.1541543128,FINITE_PROVIDER_OBSERVATION
2023-Q1,21.9215584342,FINITE_PROVIDER_OBSERVATION
2023-Q2,21.8982945485,FINITE_PROVIDER_OBSERVATION
2023-Q3,23.2371498163,FINITE_PROVIDER_OBSERVATION
2023-Q4,22.6352278535,FINITE_PROVIDER_OBSERVATION
2024-Q1,21.6991419225,FINITE_PROVIDER_OBSERVATION
2024-Q2,22.9217466274,FINITE_PROVIDER_OBSERVATION
2024-Q3,23.6121716224,FINITE_PROVIDER_OBSERVATION
2024-Q4,22.3284235339,FINITE_PROVIDER_OBSERVATION
2025-Q1,22.1786417758,FINITE_PROVIDER_OBSERVATION
2025-Q2,21.9009840591,FINITE_PROVIDER_OBSERVATION
2025-Q3,22.4500565645,FINITE_PROVIDER_OBSERVATION
2025-Q4,22.3796486044,FINITE_PROVIDER_OBSERVATION
2026-Q1,22.4381639911,FINITE_PROVIDER_OBSERVATION
