KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,CONSOLIDATION,ACCOUNTING_ENTRY,STO,INSTR_ASSET,MATURITY,EXPENDITURE,UNIT_MEASURE,CURRENCY_DENOM,VALUATION,PRICES,TRANSFORMATION,CUST_BREAKDOWN,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,OBS_EDP_WBB,TIME_FORMAT,COLL_PERIOD,COMMENT_TS,COMPILING_ORG,CURRENCY,CUST_BREAKDOWN_LB,DATA_COMP,DECIMALS,DISS_ORG,GFS_ECOFUNC,GFS_TAXCAT,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,1999-Q1,969.9,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross fixed capital formation of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,1999-Q2,1652,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross fixed capital formation of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,1999-Q3,1713.2,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross fixed capital formation of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,1999-Q4,2711,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross fixed capital formation of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2000-Q1,1388.8,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross fixed capital formation of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2000-Q2,2074,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross fixed capital formation of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2000-Q3,3135,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross fixed capital formation of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2000-Q4,3303,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross fixed capital formation of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2001-Q1,2426.7,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross fixed capital formation of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2001-Q2,4275.5,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross fixed capital formation of Non financial corporations,,6,
