period,value,source_status
1999-Q1,5130.5,FINITE_PROVIDER_OBSERVATION
1999-Q2,6471.9,FINITE_PROVIDER_OBSERVATION
1999-Q3,7552.6,FINITE_PROVIDER_OBSERVATION
1999-Q4,7591.3,FINITE_PROVIDER_OBSERVATION
2000-Q1,8828.6,FINITE_PROVIDER_OBSERVATION
2000-Q2,9375.7,FINITE_PROVIDER_OBSERVATION
2000-Q3,10175.9,FINITE_PROVIDER_OBSERVATION
2000-Q4,11392.3,FINITE_PROVIDER_OBSERVATION
2001-Q1,11091.2,FINITE_PROVIDER_OBSERVATION
2001-Q2,14381.9,FINITE_PROVIDER_OBSERVATION
2001-Q3,14104.1,FINITE_PROVIDER_OBSERVATION
2001-Q4,16747.8,FINITE_PROVIDER_OBSERVATION
2002-Q1,13780.7,FINITE_PROVIDER_OBSERVATION
2002-Q2,16505,FINITE_PROVIDER_OBSERVATION
2002-Q3,21589,FINITE_PROVIDER_OBSERVATION
2002-Q4,25085.5,FINITE_PROVIDER_OBSERVATION
2003-Q1,18493.8,FINITE_PROVIDER_OBSERVATION
2003-Q2,21253.9,FINITE_PROVIDER_OBSERVATION
2003-Q3,29147.6,FINITE_PROVIDER_OBSERVATION
2003-Q4,30204.1,FINITE_PROVIDER_OBSERVATION
2004-Q1,23669.2,FINITE_PROVIDER_OBSERVATION
2004-Q2,31213.6,FINITE_PROVIDER_OBSERVATION
2004-Q3,32341.8,FINITE_PROVIDER_OBSERVATION
2004-Q4,36361.6,FINITE_PROVIDER_OBSERVATION
2005-Q1,26672.5,FINITE_PROVIDER_OBSERVATION
2005-Q2,36431.6,FINITE_PROVIDER_OBSERVATION
2005-Q3,37027.7,FINITE_PROVIDER_OBSERVATION
2005-Q4,46044,FINITE_PROVIDER_OBSERVATION
2006-Q1,33055.4,FINITE_PROVIDER_OBSERVATION
2006-Q2,44292.1,FINITE_PROVIDER_OBSERVATION
2006-Q3,46173.1,FINITE_PROVIDER_OBSERVATION
2006-Q4,54373,FINITE_PROVIDER_OBSERVATION
2007-Q1,43459.3,FINITE_PROVIDER_OBSERVATION
2007-Q2,52405.5,FINITE_PROVIDER_OBSERVATION
2007-Q3,59460.5,FINITE_PROVIDER_OBSERVATION
2007-Q4,72625.7,FINITE_PROVIDER_OBSERVATION
2008-Q1,55762.3,FINITE_PROVIDER_OBSERVATION
2008-Q2,72397.8,FINITE_PROVIDER_OBSERVATION
2008-Q3,81688.3,FINITE_PROVIDER_OBSERVATION
2008-Q4,88850.2,FINITE_PROVIDER_OBSERVATION
2009-Q1,62244.1,FINITE_PROVIDER_OBSERVATION
2009-Q2,78381.9,FINITE_PROVIDER_OBSERVATION
2009-Q3,86555.2,FINITE_PROVIDER_OBSERVATION
2009-Q4,74989.6,FINITE_PROVIDER_OBSERVATION
2010-Q1,57851.5,FINITE_PROVIDER_OBSERVATION
2010-Q2,70120.7,FINITE_PROVIDER_OBSERVATION
2010-Q3,75479.7,FINITE_PROVIDER_OBSERVATION
2010-Q4,81653.8,FINITE_PROVIDER_OBSERVATION
2011-Q1,66619.9,FINITE_PROVIDER_OBSERVATION
