KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,CONSOLIDATION,ACCOUNTING_ENTRY,STO,INSTR_ASSET,MATURITY,EXPENDITURE,UNIT_MEASURE,CURRENCY_DENOM,VALUATION,PRICES,TRANSFORMATION,CUST_BREAKDOWN,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,OBS_EDP_WBB,TIME_FORMAT,COLL_PERIOD,COMMENT_TS,COMPILING_ORG,CURRENCY,CUST_BREAKDOWN_LB,DATA_COMP,DECIMALS,DISS_ORG,GFS_ECOFUNC,GFS_TAXCAT,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
QSA.Q.N.RO.W0.S11.S1._Z.B.B1G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,_Z,B,B1G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,1999-Q1,5130.5,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Value added, gross - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Balance - Not applicable, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross value added of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1._Z.B.B1G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,_Z,B,B1G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,1999-Q2,6471.9,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Value added, gross - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Balance - Not applicable, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross value added of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1._Z.B.B1G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,_Z,B,B1G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,1999-Q3,7552.6,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Value added, gross - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Balance - Not applicable, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross value added of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1._Z.B.B1G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,_Z,B,B1G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,1999-Q4,7591.3,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Value added, gross - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Balance - Not applicable, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross value added of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1._Z.B.B1G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,_Z,B,B1G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2000-Q1,8828.6,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Value added, gross - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Balance - Not applicable, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross value added of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1._Z.B.B1G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,_Z,B,B1G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2000-Q2,9375.7,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Value added, gross - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Balance - Not applicable, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross value added of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1._Z.B.B1G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,_Z,B,B1G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2000-Q3,10175.9,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Value added, gross - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Balance - Not applicable, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross value added of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1._Z.B.B1G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,_Z,B,B1G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2000-Q4,11392.3,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Value added, gross - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Balance - Not applicable, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross value added of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1._Z.B.B1G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,_Z,B,B1G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2001-Q1,11091.2,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Value added, gross - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Balance - Not applicable, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross value added of Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1._Z.B.B1G._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,_Z,B,B1G,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2001-Q2,14381.9,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Value added, gross - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Balance - Not applicable, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Gross value added of Non financial corporations,,6,
