KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,STO,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICES,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,TIME_FORMAT,COMMENT_TS,COMPILING_ORG,CURRENCY,DATA_COMP,DECIMALS,DISS_ORG,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1995-Q1,28240.6630428043,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1995-Q2,27633.197610731,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1995-Q3,27314.7179794556,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1995-Q4,25853.8122894405,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1996-Q1,28984.0646508071,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1996-Q2,28835.169377674,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1996-Q3,27947.7709112705,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1996-Q4,27536.4280842445,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1997-Q1,27947.89492177,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1997-Q2,26716.6360085154,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
