period,value,source_status
1995-Q1,28240.6630428,FINITE_PROVIDER_OBSERVATION
1995-Q2,27633.1976107,FINITE_PROVIDER_OBSERVATION
1995-Q3,27314.7179795,FINITE_PROVIDER_OBSERVATION
1995-Q4,25853.8122894,FINITE_PROVIDER_OBSERVATION
1996-Q1,28984.0646508,FINITE_PROVIDER_OBSERVATION
1996-Q2,28835.1693777,FINITE_PROVIDER_OBSERVATION
1996-Q3,27947.7709113,FINITE_PROVIDER_OBSERVATION
1996-Q4,27536.4280842,FINITE_PROVIDER_OBSERVATION
1997-Q1,27947.8949218,FINITE_PROVIDER_OBSERVATION
1997-Q2,26716.6360085,FINITE_PROVIDER_OBSERVATION
1997-Q3,26882.2106938,FINITE_PROVIDER_OBSERVATION
1997-Q4,26262.550896,FINITE_PROVIDER_OBSERVATION
1998-Q1,25232.2509973,FINITE_PROVIDER_OBSERVATION
1998-Q2,25673.0256495,FINITE_PROVIDER_OBSERVATION
1998-Q3,27086.6420024,FINITE_PROVIDER_OBSERVATION
1998-Q4,27629.0225906,FINITE_PROVIDER_OBSERVATION
1999-Q1,26877.4156212,FINITE_PROVIDER_OBSERVATION
1999-Q2,26496.4553666,FINITE_PROVIDER_OBSERVATION
1999-Q3,26098.8983734,FINITE_PROVIDER_OBSERVATION
1999-Q4,25750.346196,FINITE_PROVIDER_OBSERVATION
2000-Q1,26510.7579108,FINITE_PROVIDER_OBSERVATION
2000-Q2,27991.8566439,FINITE_PROVIDER_OBSERVATION
2000-Q3,26442.7794887,FINITE_PROVIDER_OBSERVATION
2000-Q4,26867.5154496,FINITE_PROVIDER_OBSERVATION
2001-Q1,28006.4692144,FINITE_PROVIDER_OBSERVATION
2001-Q2,27721.96846,FINITE_PROVIDER_OBSERVATION
2001-Q3,28499.3696133,FINITE_PROVIDER_OBSERVATION
2001-Q4,29210.9625282,FINITE_PROVIDER_OBSERVATION
2002-Q1,29600.913544,FINITE_PROVIDER_OBSERVATION
2002-Q2,30241.3037637,FINITE_PROVIDER_OBSERVATION
2002-Q3,29880.3505363,FINITE_PROVIDER_OBSERVATION
2002-Q4,30185.6230494,FINITE_PROVIDER_OBSERVATION
2003-Q1,30180.889982,FINITE_PROVIDER_OBSERVATION
2003-Q2,30941.0330075,FINITE_PROVIDER_OBSERVATION
2003-Q3,31019.4283116,FINITE_PROVIDER_OBSERVATION
2003-Q4,30574.023934,FINITE_PROVIDER_OBSERVATION
2004-Q1,32371.948825,FINITE_PROVIDER_OBSERVATION
2004-Q2,33204.7826716,FINITE_PROVIDER_OBSERVATION
2004-Q3,34658.0410475,FINITE_PROVIDER_OBSERVATION
2004-Q4,35277.535498,FINITE_PROVIDER_OBSERVATION
2005-Q1,34770.9319389,FINITE_PROVIDER_OBSERVATION
2005-Q2,35125.0439204,FINITE_PROVIDER_OBSERVATION
2005-Q3,35430.7091334,FINITE_PROVIDER_OBSERVATION
2005-Q4,36511.5226423,FINITE_PROVIDER_OBSERVATION
2006-Q1,37454.3124651,FINITE_PROVIDER_OBSERVATION
2006-Q2,38027.6956782,FINITE_PROVIDER_OBSERVATION
2006-Q3,38871.504454,FINITE_PROVIDER_OBSERVATION
2006-Q4,38872.6205485,FINITE_PROVIDER_OBSERVATION
2007-Q1,40066.6143067,FINITE_PROVIDER_OBSERVATION
2007-Q2,40638.5300622,FINITE_PROVIDER_OBSERVATION
2007-Q3,41039.2493231,FINITE_PROVIDER_OBSERVATION
2007-Q4,42565.8185726,FINITE_PROVIDER_OBSERVATION
2008-Q1,43081.268214,FINITE_PROVIDER_OBSERVATION
2008-Q2,44782.8782837,FINITE_PROVIDER_OBSERVATION
2008-Q3,45820.8254966,FINITE_PROVIDER_OBSERVATION
2008-Q4,45918.3597545,FINITE_PROVIDER_OBSERVATION
2009-Q1,41469.2143935,FINITE_PROVIDER_OBSERVATION
2009-Q2,41748.1760122,FINITE_PROVIDER_OBSERVATION
2009-Q3,43043.2796643,FINITE_PROVIDER_OBSERVATION
2009-Q4,43434.4501168,FINITE_PROVIDER_OBSERVATION
2010-Q1,41090.5276647,FINITE_PROVIDER_OBSERVATION
2010-Q2,41488.0639894,FINITE_PROVIDER_OBSERVATION
2010-Q3,39673.9970651,FINITE_PROVIDER_OBSERVATION
2010-Q4,40814.6043032,FINITE_PROVIDER_OBSERVATION
2011-Q1,42129.8596615,FINITE_PROVIDER_OBSERVATION
2011-Q2,42829.0101895,FINITE_PROVIDER_OBSERVATION
2011-Q3,43707.335221,FINITE_PROVIDER_OBSERVATION
2011-Q4,41731.8066263,FINITE_PROVIDER_OBSERVATION
2012-Q1,44024.7607631,FINITE_PROVIDER_OBSERVATION
2012-Q2,44044.2304115,FINITE_PROVIDER_OBSERVATION
2012-Q3,42990.9265651,FINITE_PROVIDER_OBSERVATION
2012-Q4,42581.8572639,FINITE_PROVIDER_OBSERVATION
2013-Q1,42639.3567989,FINITE_PROVIDER_OBSERVATION
2013-Q2,43368.3111837,FINITE_PROVIDER_OBSERVATION
2013-Q3,43842.7340181,FINITE_PROVIDER_OBSERVATION
2013-Q4,44275.4066511,FINITE_PROVIDER_OBSERVATION
2014-Q1,44759.0475994,FINITE_PROVIDER_OBSERVATION
2014-Q2,44901.9283633,FINITE_PROVIDER_OBSERVATION
2014-Q3,45799.5370275,FINITE_PROVIDER_OBSERVATION
2014-Q4,45832.2757994,FINITE_PROVIDER_OBSERVATION
2015-Q1,46388.7935845,FINITE_PROVIDER_OBSERVATION
2015-Q2,46929.8720625,FINITE_PROVIDER_OBSERVATION
2015-Q3,46904.9459521,FINITE_PROVIDER_OBSERVATION
2015-Q4,46792.6751132,FINITE_PROVIDER_OBSERVATION
2016-Q1,48009.7554926,FINITE_PROVIDER_OBSERVATION
2016-Q2,47972.4696691,FINITE_PROVIDER_OBSERVATION
2016-Q3,48147.1384577,FINITE_PROVIDER_OBSERVATION
2016-Q4,48235.4752702,FINITE_PROVIDER_OBSERVATION
2017-Q1,50533.5551743,FINITE_PROVIDER_OBSERVATION
2017-Q2,52039.3113284,FINITE_PROVIDER_OBSERVATION
2017-Q3,52817.0638447,FINITE_PROVIDER_OBSERVATION
2017-Q4,52740.1153298,FINITE_PROVIDER_OBSERVATION
2018-Q1,53443.6062253,FINITE_PROVIDER_OBSERVATION
2018-Q2,54528.5534175,FINITE_PROVIDER_OBSERVATION
2018-Q3,55880.7018994,FINITE_PROVIDER_OBSERVATION
2018-Q4,55504.8260753,FINITE_PROVIDER_OBSERVATION
2019-Q1,55642.539735,FINITE_PROVIDER_OBSERVATION
2019-Q2,56969.5554224,FINITE_PROVIDER_OBSERVATION
2019-Q3,57198.850836,FINITE_PROVIDER_OBSERVATION
2019-Q4,58233.925139,FINITE_PROVIDER_OBSERVATION
2020-Q1,56825.5792324,FINITE_PROVIDER_OBSERVATION
2020-Q2,52139.6358225,FINITE_PROVIDER_OBSERVATION
2020-Q3,54100.8825414,FINITE_PROVIDER_OBSERVATION
2020-Q4,56773.6601699,FINITE_PROVIDER_OBSERVATION
2021-Q1,57538.9702995,FINITE_PROVIDER_OBSERVATION
2021-Q2,58123.4731207,FINITE_PROVIDER_OBSERVATION
2021-Q3,58247.7316413,FINITE_PROVIDER_OBSERVATION
2021-Q4,58212.8020172,FINITE_PROVIDER_OBSERVATION
2022-Q1,60083.8310977,FINITE_PROVIDER_OBSERVATION
2022-Q2,60189.7360643,FINITE_PROVIDER_OBSERVATION
2022-Q3,60435.7728954,FINITE_PROVIDER_OBSERVATION
2022-Q4,61134.2620342,FINITE_PROVIDER_OBSERVATION
2023-Q1,61035.818366,FINITE_PROVIDER_OBSERVATION
2023-Q2,61634.8924209,FINITE_PROVIDER_OBSERVATION
2023-Q3,62179.5672034,FINITE_PROVIDER_OBSERVATION
2023-Q4,62453.5270653,FINITE_PROVIDER_OBSERVATION
2024-Q1,62298.7412934,FINITE_PROVIDER_OBSERVATION
2024-Q2,61971.4155799,FINITE_PROVIDER_OBSERVATION
2024-Q3,62357.8322965,FINITE_PROVIDER_OBSERVATION
2024-Q4,62941.1363495,FINITE_PROVIDER_OBSERVATION
2025-Q1,62716.2019718,FINITE_PROVIDER_OBSERVATION
2025-Q2,63253.62214,FINITE_PROVIDER_OBSERVATION
2025-Q3,63246.2641837,FINITE_PROVIDER_OBSERVATION
2025-Q4,62044.6644483,FINITE_PROVIDER_OBSERVATION
2026-Q1,62005.3944567,FINITE_PROVIDER_OBSERVATION
2026-Q2,62005.7251514,FINITE_PROVIDER_OBSERVATION
