period,net_lending_borrowing_pct_gdp,interest_expenditure_pct_gdp,primary_balance_pct_gdp,source_completeness
2000-Q1,-3.1,5.5,2.4,COMPLETE
2000-Q2,-4.7,5.1,0.4,COMPLETE
2000-Q3,-3.3,2.4,-0.9,COMPLETE
2000-Q4,-6.5,3.6,-2.9,COMPLETE
2001-Q1,-5.5,4.6,-0.9,COMPLETE
2001-Q2,-4.2,3.6,-0.6,COMPLETE
2001-Q3,-2,3.7,1.7,COMPLETE
2001-Q4,-3.1,2.4,-0.7,COMPLETE
2002-Q1,-1.6,2.6,1,COMPLETE
2002-Q2,-1.4,2.9,1.5,COMPLETE
2002-Q3,-0.6,2.1,1.5,COMPLETE
2002-Q4,-3.7,2.3,-1.4,COMPLETE
2003-Q1,-2.2,2.1,-0.1,COMPLETE
2003-Q2,2.8,1.9,4.7,COMPLETE
2003-Q3,-2.9,1.5,-1.4,COMPLETE
2003-Q4,-2.8,1.3,-1.5,COMPLETE
2004-Q1,-1.1,1.9,0.8,COMPLETE
2004-Q2,-1.7,1.1,-0.6,COMPLETE
2004-Q3,0.4,1.3,1.7,COMPLETE
2004-Q4,-2,1.6,-0.4,COMPLETE
2005-Q1,0.3,1.3,1.6,COMPLETE
2005-Q2,-2.2,2,-0.2,COMPLETE
2005-Q3,-0.8,0.3,-0.5,COMPLETE
2005-Q4,-0.5,1.5,1,COMPLETE
2006-Q1,1.5,1,2.5,COMPLETE
2006-Q2,5,0.7,5.7,COMPLETE
2006-Q3,1.5,0.7,2.2,COMPLETE
2006-Q4,-12.9,1,-11.9,COMPLETE
2007-Q1,-0.6,1.1,0.5,COMPLETE
2007-Q2,1.8,1.4,3.2,COMPLETE
2007-Q3,0.7,0.5,1.2,COMPLETE
2007-Q4,-10.3,0.1,-10.2,COMPLETE
2008-Q1,-2.9,1,-1.9,COMPLETE
2008-Q2,-4.8,0.8,-4,COMPLETE
2008-Q3,-1.7,0.8,-0.9,COMPLETE
2008-Q4,-10.8,0.5,-10.3,COMPLETE
2009-Q1,-10.2,2,-8.2,COMPLETE
2009-Q2,-9,1.9,-7.1,COMPLETE
2009-Q3,-8.9,2.1,-6.8,COMPLETE
2009-Q4,-10,1.7,-8.3,COMPLETE
