year,primary_balance_pct_gdp,output_gap_pct_potential_gdp,debt_pct_gdp,source_status
1995,-0.41915,0.50653,6.61183,ACTUAL_ONLY_COMPLETE
1996,-1.77823,4.23355,10.62287,ACTUAL_ONLY_COMPLETE
1997,-0.00471,-0.19371,15.05955,ACTUAL_ONLY_COMPLETE
1998,0.74525,-2.01366,16.80056,ACTUAL_ONLY_COMPLETE
1999,0.63436,-2.84509,21.7219,ACTUAL_ONLY_COMPLETE
2000,-0.64669,-2.29581,22.48659,ACTUAL_ONLY_COMPLETE
2001,-0.01124,0.41587,25.86944,ACTUAL_ONLY_COMPLETE
2002,0.5236,2.95884,24.8208,ACTUAL_ONLY_COMPLETE
2003,0.21983,1.16368,22.10933,ACTUAL_ONLY_COMPLETE
2004,0.37194,5.37454,18.94525,ACTUAL_ONLY_COMPLETE
2005,0.43505,4.00316,15.90511,ACTUAL_ONLY_COMPLETE
2006,-1.29897,5.20449,12.42358,ACTUAL_ONLY_COMPLETE
2007,-2.05912,5.02024,11.94916,ACTUAL_ONLY_COMPLETE
2008,-4.68967,7.12289,12.33163,ACTUAL_ONLY_COMPLETE
2009,-7.61773,-1.33996,21.77386,ACTUAL_ONLY_COMPLETE
2010,-5.30497,-5.96356,28.96143,ACTUAL_ONLY_COMPLETE
2011,-3.61561,-2.74593,32.34475,ACTUAL_ONLY_COMPLETE
2012,-1.78082,-1.99891,35.37448,ACTUAL_ONLY_COMPLETE
2013,-0.36508,-2.81524,37.78126,ACTUAL_ONLY_COMPLETE
2014,0.44189,-0.98555,39.13669,ACTUAL_ONLY_COMPLETE
2015,0.95648,-1.0822,37.71129,ACTUAL_ONLY_COMPLETE
2016,-1.19917,-1.9497,37.83388,ACTUAL_ONLY_COMPLETE
2017,-1.43464,0.86764,35.26225,ACTUAL_ONLY_COMPLETE
2018,-1.7018,1.39171,34.61391,ACTUAL_ONLY_COMPLETE
2019,-3.19792,0.99159,35.1854,ACTUAL_ONLY_COMPLETE
2020,-7.86494,-5.51661,46.87359,ACTUAL_ONLY_COMPLETE
2021,-5.72111,-2.44773,48.59454,ACTUAL_ONLY_COMPLETE
2022,-4.99217,-0.54115,48.06383,ACTUAL_ONLY_COMPLETE
2023,-4.57741,-0.77827,49.29974,ACTUAL_ONLY_COMPLETE
2024,-6.8218,-1.35935,54.84408,ACTUAL_ONLY_COMPLETE
